source,method,metric,kind,n,value,observed_std,ci_low,ci_high,n_draws,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,observed,20.0,0.6253333333333334,0.1330329950718159,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,27.0,0.7044761904761904,0.07645979187287022,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,33.0,0.6956666666666667,0.023308660424693026,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,40.0,0.6571428571428571,0.11912167009075379,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,47.0,0.7094776334776334,0.041189477653727595,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,54.0,0.7556159396159396,0.07227889213595314,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,60.0,0.7852560772560773,0.06084594247684101,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,67.0,0.720025308025308,0.044795992148907574,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,74.0,0.696453314659197,0.07400249049670274,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,81.0,0.7384542483660131,0.017430895917657622,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
real,LOGIS,f1_score,observed,87.0,0.7435420168067226,0.049436148343341674,,,5.0,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-100:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-100,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-100
